contract_number,contract_name,project_number,project_name,buyer,buyer_address,buyer_contact,supplier,supplier_address,supplier_contact,main_target_name,specs,main_target_quantity,main_target_unit_price,contract_amount,performance_info,procurement_method,contract_sign_date,contract_announce_date,other_supplements,administrative_region,industry,agency,file_name,source
,辽宁大学人工智能课程建设服务项目结果公告,,辽宁大学人工智能课程建设服务项目,辽宁大学人工智能课程建设服务项目,,024-62206681,北京慕华信息科技有限公司,海淀区北京市海淀区中关村东路1号院6号楼8层801室,赵子淇、齐俭、马春艳、张冬妮、石增良,服务,满足招标文件要求,1,详见合同,"1,498,000（元）",满足招标文件要求,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,代理机构联系方式: 024-31918388,辽宁省,建筑工程,辽宁大学人工智能课程建设服务项目,zhongbiao_1767008309_9.txt,zhongbiao
310000000251011140948-00278922,国家税务总局上海市青浦区税务局物业管理服务中标公告,310000000251011140948-00278922,国家税务总局上海市青浦区税务局物业管理服务,国家税务总局上海市青浦区税务局,上海市青浦区城中西路80号,"何老师,021-59719195",上海申勤物业管理服务有限公司,上海市青浦区沪青平公路3938弄39 、40 号,李玲玲,服务,服务要求,1,详见合同,794.3908000（万元）,服务标准,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,代理机构联系方式: 李玲玲，35968026,上海市,服务业,,zhongbiao_1767008312_10.txt,zhongbiao
,DSA维保(ZHZ25C00049)中标（成交）结果公告,,DSA维保,重庆市忠县人民医院,重庆市忠县忠州街道中博支路25号,,重庆崇业医疗设备有限公司,重庆市重庆市渝北区重庆市渝北区龙塔街道洋河东路37号长安丽都17幢15-1-10,张女士,其他,服务要求,1,详见合同,"1,876,000.00元",服务标准,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,重庆市北部新区金昌路7号23幢1-4,重庆市,其他,重庆和定招标代理有限责任公司,zhongbiao_1767008316_11.txt,zhongbiao
,购置检验检测仪器结果公告,,购置检验检测仪器,盘锦市市场监管事务服务中心（盘锦市消费者协会办公室）,,0427-2800137,广东省中科进出口有限公司,广东省广州市越秀区广东省广州市越秀区先烈中路100号大院9号102房自编A一楼,赵女士,其他,详见招标文件,1,详见合同,"5,296,620（元）",详见合同,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,代理机构联系方式: 15142733097,辽宁省,其他,,zhongbiao_1767008317_12.txt,zhongbiao
MB1E202681698909287649,湖南省消防救援总队2023年总队部门集中采购器材装备项目-特种防护类（包14）（第二次）中标公告,MB1E202681698909287649,湖南省消防救援总队2023年总队部门集中采购器材装备项目,湖南省消防救援总队,湖南省长沙市岳麓区枫林三路151号,刘助理0731-88119286,,安徽省黄山市休宁县东临溪镇芳山二号厂房,刘助理,其他,详见招标文件,1,详见合同,180.0120000（万元）,详见合同,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,代理机构联系方式: 李林葱、王小娟、许文洁0731-89913056,湖南省,设备采购,,zhongbiao_1767008319_13.txt,zhongbiao
SN2025-ZXGK-C0154-B00,国家税务总局榆林市税务局2026年办税服务厅非执法类辅助性服务中标公告,SN2025-ZXGK-C0154-B00,国家税务总局榆林市税务局2026年办税服务厅非执法类辅助性服务,国家税务总局榆林市税务局,陕西省榆林市榆阳区榆溪大道5号,武老师 0912-3828004,榆林市伯芽人力资源管理有限公司,陕西省榆林市榆阳区泰安路泰安里11幢商铺201室,武老师,服务,服务要求,1,详见合同,322.9302（万元）,服务标准,公开招标,2025年12月29日 17:30,2025年12月29日 17:30,无 代理机构联系方式: 无,陕西省,服务业,无,zhongbiao_1767008322_14.txt,zhongbiao
HZZC2025-G1-030140-GXWX,广西旺鑫项目管理咨询有限公司关于贺州市平桂区人民医院血透室医疗设备一批采购（HZZC2025-G1-030140-GXWX) 中标结果公告,HZZC2025-G1-030140-GXWX,贺州市平桂区人民医院血透室医疗设备一批采购,贺州市平桂区人民医院,,0774-5611699,,1,王芸玲,设备,详见招标文件,1,详见合同,651.600000,详见合同,公开招标,2025年12月29日 17:29,2025年12月29日 17:29,代理机构联系方式: 0774-5079392,广西壮族自治区,医疗健康,,zhongbiao_1767008324_15.txt,zhongbiao
,西岗街道机关食堂2026年度食材物资采购及配送项目中标公告,,西岗街道机关食堂2026年度食材物资采购及配送项目,南京市栖霞区人民政府西岗办事处（机关）,南京市栖霞区摄山星城竹丝东路8号,,社会信用代码,,唐新宇,其他,详见招标文件,1,详见合同,0.006800,详见合同,公开招标,2025年12月29日 17:17,2025年12月29日 17:17,南京市栖霞区南大科学园协同创新大厦1楼,江苏省,其他,江苏高智项目管理有限公司,zhongbiao_1767008343_1.txt,zhongbiao
,紫金山实验室通感一体化双紧缩场测试系统中标公告,,紫金山实验室通感一体化双紧缩场测试系统,紫金山实验室,南京市江宁区秣周东路9号B1栋,,社会信用代码,,陈老师,其他,详见招标文件,1,详见合同,1798.000000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区江东中路265号,江苏省,软件开发,南京市公共资源交易中心,zhongbiao_1767008346_2.txt,zhongbiao
,政务数据中心安全生产提升中标公告,,政务数据中心安全生产提升,南京市城市数字治理中心,南京市建邺区江东中路265号新城大厦D座,,社会信用代码,,徐先生,其他,详见招标文件,1,详见合同,468.014500,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区江东中路265号,江苏省,信息技术,南京市公共资源交易中心,zhongbiao_1767008347_3.txt,zhongbiao
,南京鼓楼医院GPU服务器中标公告,,南京鼓楼医院GPU服务器,南京鼓楼医院,南京市鼓楼区中山路321号,,社会信用代码,,陈老师,服务,详见招标文件,1,详见合同,148.600000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区江东中路265号,江苏省,医疗健康,南京市公共资源交易中心,zhongbiao_1767008350_4.txt,zhongbiao
（招标文件编号：HBSJ-202510SZ-009001001）,中南财经政法大学南湖校区地下供水主管改造一期项目工程总承包中标结果公告,（招标文件编号：HBSJ-202510SZ-009001001）,中南财经政法大学南湖校区地下供水主管改造一期项目工程总承包,中南财经政法大学,武汉市东湖新技术开发区南湖大道182号,王一凡 027-88386759,武汉三江源水务工程有限公司、武汉恒沛给排水工程设计院有限公司,武汉市汉阳区汉阳大道140号闽东国际城第3幢A单元9层901号、武汉市汉阳区汉阳大道140号闽东国际城3栋A单元8层4室,胡红霞、戴唯、郭庆、刘志林,工程,详见招标文件,1,详见合同,480.0123560（万元）,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,代理机构联系方式: 胡红霞、戴唯、郭庆、刘志林 027-87238091,湖北省,建筑工程,,zhongbiao_1767008352_5.txt,zhongbiao
[HKGP]20251100001[GK],美兰区青年路办公区物业服务采购结果公告（采购包1）,[HKGP]20251100001[GK],美兰区青年路办公区物业服务采购,海口市美兰区机关事务管理局,,,海南大祥物业服务有限公司,海南省海口市滨海路63号中科院北附楼503室,孟女士,服务范围,服务要求,1,详见合同,"5,673,000.00元",单位,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,海口市海甸五西路28号建安大厦 代理机构联系方式: 0898-65250519，65250512，68723985,海南省,服务业,海口市政府采购中心,zhongbiao_1767008356_6.txt,zhongbiao
,南京市政务云国产化资源扩容中标公告,,南京市政务云国产化资源扩容,南京市城市数字治理中心,南京市建邺区江东中路265号新城大厦D座,,社会信用代码,,王传宝,其他,详见招标文件,1,详见合同,1568.000000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区江东中路265号,江苏省,其他,南京市公共资源交易中心,zhongbiao_1767008359_7.txt,zhongbiao
ZJ2025-DLGK-A0133-B00,国家税务总局绍兴市柯桥区税务局2026年度食堂食材采购及配送服务项目中标公告,ZJ2025-DLGK-A0133-B00,国家税务总局绍兴市柯桥区税务局2026年度食堂食材采购及配送服务项目,国家税务总局绍兴市柯桥区税务局,绍兴市柯桥区群贤路2123号,汪惠敏0575-85586213,浙江餐餐鲜农业科技有限公司,浙江省绍兴市柯桥区王坛镇镇中路13号510室,汪惠敏,服务,详见招标文件,1,详见合同,0.000000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,代理机构联系方式: 茹丽萍   13777344612,浙江省,服务业,,zhongbiao_1767008361_8.txt,zhongbiao
,紫金山实验室确定性遥操作试验控制系统采购项目中标公告,,紫金山实验室确定性遥操作试验控制系统采购项目,紫金山实验室,南京市江宁区秣周东路9号B1栋,,社会信用代码,,宋强,其他,详见招标文件,1,详见合同,132.500000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区楠溪江东街58号,全国,软件开发,中通服咨询设计研究院有限公司,zhongbiao_1767008367_9.txt,zhongbiao
310110000251014141733-10279882,上海市杨浦区市东医院物业设备维保（物业管理）项目的中标（成交）结果公告,310110000251014141733-10279882,上海市杨浦区市东医院物业设备维保（物业管理）项目,上海市杨浦区市东医院,,021-25066666，13917677311,,,钟祖强,设备,服务要求,1,详见合同,"4,389,180.00元",服务标准,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,代理机构联系方式: 65550117,上海市,医疗健康,,zhongbiao_1767008370_10.txt,zhongbiao
,2025年南京市医疗设备集中采购彩色多普勒超声诊断仪（妇产+心脏+全身）中标公告,,2025年南京市医疗设备集中采购彩色多普勒超声诊断仪（妇产+心脏+全身）,南京市卫生健康委员会,南京市建邺区江东中路265号,,社会信用代码,,马老师,设备,详见招标文件,1,详见合同,189.980000,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区江东中路265号,江苏省,医疗健康,南京市公共资源交易中心,zhongbiao_1767008373_11.txt,zhongbiao
,南京鼓楼医院关于零星广告标识采购项目的中标公告,,南京鼓楼医院零星广告标识采购项目,南京鼓楼医院,南京市玄武区双龙巷5号A座405房间,,社会信用代码,,马老师,其他,详见招标文件,1,详见合同,62.851560,详见合同,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,南京市建邺区云龙山路56号大唐科技大厦A座第14、15层,全国,医疗健康,江苏海外集团国际工程咨询有限公司,zhongbiao_1767008381_12.txt,zhongbiao
驻政公开采购-2025-36,2025-2026年驻马店市市级水质自动监测运维项目-中标公告,驻政公开采购-2025-36,2025-2026年驻马店市市级水质自动监测运维项目,驻马店市生态环境监测监控中心,驻马店市乐山路瑞安客运站综合楼,0396-2888211,地 址,,王先生,其他,服务要求,1,详见合同,277.280600,服务标准,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,驻马店市置地华庭B座 代理机构联系方式: 0396-3676106,河南省,其他,中信诚项目管理有限公司,zhongbiao_1767008388_13.txt,zhongbiao
,2025年度警务通热敏纸和其他印刷品采购中标公告,,2025年度警务通热敏纸和其他印刷品采购,昆山市公安局（本级）,昆山市前进东路1288号,,社会信用代码,,包卫平,其他,详见附件项目采购文件,1,详见合同,104.500850,合同签订后壹年,公开招标,2025年12月29日 17:16,2025年12月29日 17:16,江苏省昆山市前进西路1801号,江苏省,其他,苏州市公共资源交易中心昆山分中心（昆山市政府集中采购中心）,zhongbiao_1767008390_14.txt,zhongbiao
,2026年南京市浦口区人民政府泰山街道办事处机关食堂原材料采购配送中标公告,,2026年南京市浦口区人民政府泰山街道办事处机关食堂原材料采购配送,南京市浦口区人民政府泰山街道办事处（本级）,南京市浦口区柳洲北路10号,,社会信用代码,,杨科,其他,详见招标文件,1,详见合同,0.002350,详见合同,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,南京市栖霞区燕城大道1号招商花园城A3栋30楼,全国,其他,南京泽泰工程项目管理有限公司,zhongbiao_1767008394_15.txt,zhongbiao
,镇江市公安局数据中心国产化升级替代项目中标公告,,镇江市公安局数据中心国产化升级替代项目,镇江市公安局,九华山路9号,,社会信用代码,,赵江涛,其他,详见招标文件,1,详见合同,469.560000,详见招标文件,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,镇江市冠城路8号工人大厦裙楼7楼,全国,信息技术,镇江市公共资源交易中心,zhongbiao_1767008396_16.txt,zhongbiao
CGZX-CG202510051,中山市教育和体育局2026-2027年物业管理服务采购项目中标公告,CGZX-CG202510051,中山市教育和体育局2026-2027年物业管理服务采购项目,中山市教育和体育局,,0760-89989766,,,陈先生,服务范围,服务要求,1,详见合同,408.700000,服务标准,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,代理机构联系方式: 0760-89817357,全国,教育,,zhongbiao_1767008398_17.txt,zhongbiao
,江宁开发区曹村泵站二期等五处一体化净化设施服务中标公告,,江宁开发区曹村泵站二期等五处一体化净化设施服务,南京江宁经济技术开发区管理委员会,南京市江宁区将军大道166号,,社会信用代码,,丁海峰,服务,详见采购文件,1,详见合同,0.000454,详见采购文件,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,南京市江宁区杨家圩路2号江宁市民中心A区3楼,全国,服务业,南京市公共资源交易中心江宁分中心,zhongbiao_1767008401_18.txt,zhongbiao
1401052025CCS00271,太原市小店区教育体育局竞争性磋商小店区国家义务教育教学改革实验区教师培训结果公告,1401052025CCS00271,小店区国家义务教育教学改革实验区教师培训,太原市小店区教育体育局,,0351-2383918,,,程慧玲,其他,服务要求,1,详见合同,71.870000,服务标准,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,代理机构联系方式: 0351-3526222,山西省,教育,,zhongbiao_1767008412_19.txt,zhongbiao
1409252025CCS00139,宁武县应急避难场所资源调查评估及专项规划编制项目竞争性磋商的结果公告,1409252025CCS00139,宁武县应急避难场所资源调查评估及专项规划编制项目,宁武县应急管理局,,13103501688,,,黄龙,其他,服务要求,1,详见合同,53.870000,服务标准,公开招标,2025年12月29日 17:15,2025年12月29日 17:15,代理机构联系方式: 13613452441,山西省,其他,,zhongbiao_1767008413_20.txt,zhongbiao
,张集镇四个村环境整治项目中标结果公告,,张集镇四个村环境整治项目中标结果公告,钟祥市张集镇人民政府,,17786233188,湖北翔奥建设工程有限公司,武汉市汉南区纱帽正街紫阳天玺商 住小区 （一期）第2幢1层8商号房（40）,郭祥丽,其他,详见招标文件,1,详见合同,101.9,详见合同,公开招标,2025年12月29日 16:50,2025年12月29日 16:50,代理机构联系方式: 0724-4266208,全国,环境保护,,zhongbiao_1767008448_1.txt,zhongbiao
,宜昌市中心城区一类建筑工程规划建筑方案建筑定位示意图绘制（2026年度）成交结果公告,,宜昌市中心城区一类建筑工程规划建筑方案建筑定位示意图绘制（2026年度）成交结果公告,宜昌市自然资源和城乡建设局本级,,13607208329,宜昌市地理信息和规划编制研究中心,伍家岗区,郑静怡,工程,承担2026年宜昌市中心城区一类及其他重要的建筑工程项目规划建筑方案建筑定位示意图的。,1,详见合同,98.29,成果交付时间：2026年12月底前交付所有成果。,公开招标,2025年12月29日 16:50,2025年12月29日 16:50,代理机构联系方式: 0717-6253135,全国,建筑工程,,zhongbiao_1767008455_2.txt,zhongbiao
,武汉市社会福利院2026年食堂食材配送服务项目中标结果公告,,武汉市社会福利院2026年食堂食材配送服务项目中标结果公告,武汉市社会福利院,,18271811382,武汉联农生鲜食品加工配送有限公司,湖北省武汉市江夏区湖北省武汉市江夏区大桥新区山湖路17号湖北国通青扬力神工业园（东区）项目一期1-2号厂房,刘桢、胡芬、黄莉、周晓、刘宁、刘倩,服务,按招标文件要求执行,1,详见合同,87,2026年1月1日至2026年12月31日。,公开招标,2025年12月29日 16:50,2025年12月29日 16:50,代理机构联系方式: 17764009308,湖北省,服务业,,zhongbiao_1767008457_3.txt,zhongbiao
11011525210200030841-XM001,北京市大兴区魏善庄镇第二中心小学校园安保服务项目中标公告,11011525210200030841-XM001,北京市大兴区魏善庄镇第二中心小学校园安保服务项目,北京市大兴区魏善庄镇第二中心小学,北京市大兴区魏善庄镇魏庄村,"苏金涛,89237056",戎威远保安服务股份有限公司,北京市丰台区东滨河路2号6号楼2层2118室,王洪勤,服务,详见招标文件,1,详见合同,129.6 万元（人民币）,详见合同,公开招标,2025年12月29日 16:49,2025年12月29日 16:49,代理机构联系方式: 王洪勤，010-69202026,北京市,教育,,zhongbiao_1767008461_4.txt,zhongbiao
F53JX1025001488,云南省普洱市墨江哈尼族自治县消防救援大队食堂主副食品配送单位采购项目中标结果公告,F53JX1025001488,云南省普洱市墨江哈尼族自治县消防救援大队食堂主副食品配送单位采购项目,墨江哈尼族自治县消防救援大队,墨江县联珠镇班中村老杨冲,尚老师（18287917119）,墨江云尚优鲜超市,云南省普洱市墨江哈尼族自治县联珠镇凤凰新城二期B地块12幢-13幢,孙玉龙、江锋、冯强,其他,服务要求,1,详见合同,0.000000,服务标准,公开招标,2025年12月29日 16:49,2025年12月29日 16:49,代理机构联系方式: 孙玉龙、江锋、冯强（18387179569、0879-2869698）,云南省,安全防护,,zhongbiao_1767008463_5.txt,zhongbiao
FW2025112501,2026年度复旦大学实验室化学废弃物（危险废物）处置中标公告,FW2025112501,2026年度复旦大学实验室化学废弃物（危险废物）处置,复旦大学,上海邯郸路220号,李老师 021-65641327,上海环境集团环保有限公司,上海市松江区青天路866号,徐旭东、刘韵,其他,服务要求,1,详见合同,352.2500000（万元）,服务标准,公开招标,2025年12月29日 16:49,2025年12月29日 16:49,代理机构联系方式: 徐旭东、刘韵 021-63230480转8605、8628,上海市,其他,,zhongbiao_1767008466_6.txt,zhongbiao
GZJC（CG）2025-123号,三都县城区市政路灯智慧节能改造能源托管服务项目的中标(成交)结果公告,GZJC（CG）2025-123号,三都县城区市政路灯智慧节能改造能源托管服务项目,三都水族自治县住房和城乡建设局,,15308541573,,,吕明杨、赵迪、梁川、王琳,服务,服务要求,1,详见合同,590.200000,服务标准,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,代理机构联系方式: 17678910301,贵州省,服务业,,zhongbiao_1767008467_7.txt,zhongbiao
GZWH-2025-4612J,福泉市中医医院2025年度非集采中药饮片采购项目的中标(成交)结果公告,GZWH-2025-4612J,福泉市中医医院2025年度非集采中药饮片采购项目,福泉市中医医院,,0854-2588332,,,莫益标,其他,详见招标文件,1,详见合同,220.810000,详见合同,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,代理机构联系方式: 17365011570,贵州省,医疗健康,,zhongbiao_1767008469_8.txt,zhongbiao
1499002025CCS04295,省直机关公安厅集中办公区秩序维护（安保）服务项目结果公告,1499002025CCS04295,省直机关公安厅集中办公区秩序维护（安保）服务项目,山西省机关事务管理局,,0351-3810744,,,蔚思宏 陈晓懿 和震宇 宁婧伊,服务,服务要求,1,详见合同,1070.000000,服务标准,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,代理机构联系方式: 18636688328 18534632795,山西省,服务业,,zhongbiao_1767008472_9.txt,zhongbiao
1404262025CCS00147,黎城县公办养老中心项目设计服务结果公告,1404262025CCS00147,黎城县公办养老中心项目设计服务,黎城县民政和人力资源社会保障局,,13546652446,,,张女士,服务,服务要求,1,详见合同,91.400000,服务标准,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,代理机构联系方式: 0355-3095096,山西省,服务业,,zhongbiao_1767008475_10.txt,zhongbiao
SXSYGK-202501201,西安高新第五小学后勤服务外包项目中标（成交）结果公告,SXSYGK-202501201,后勤服务外包项目,西安高新第五小学,西安市雁塔区丈八五路,13022812216,,评审方法,杨革,服务范围,服务要求,1,详见合同,67.080000,服务标准,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,陕西省西安市莲湖区土门坊6号 代理机构联系方式: 18066870135,陕西省,服务业,陕西陕源项目管理有限公司,zhongbiao_1767008478_11.txt,zhongbiao
SHGP-2025-B-674,天津市消防救援总队特勤支队轻纺大道站车辆维修项目中标公告,SHGP-2025-B-674,天津市消防救援总队特勤支队轻纺大道站车辆维修项目,天津市消防救援总队特勤支队,天津市北辰区北麻疙瘩路与津榆公路交叉口东南方向430米左右,尹老师，18032029237,天津长赢汽车维修有限公司,天津市滨海新区古林街道津歧公路（南）150号,田燕,其他,服务要求,1,详见合同,20.0000000（万元）,服务标准,公开招标,2025年12月29日 16:48,2025年12月29日 16:48,代理机构联系方式: 田燕，022-86599692-8001/8008,天津市,安全防护,,zhongbiao_1767008482_12.txt,zhongbiao
N5100012025003333,川北医学院附属医院2025年医疗投诉纠纷管理系统等信息系统(二次)中标（成交）结果公告,N5100012025003333,2025年医疗投诉纠纷管理系统等信息系统(二次),川北医学院附属医院,四川省南充市顺庆区茂源南路1号,0817-2262458,,,陈女士,品牌,详见招标文件,1,详见合同,30.800000,详见合同,公开招标,2025年12月29日 16:47,2025年12月29日 16:47,四川省南充市市辖区南充市顺庆区涪江路19号 代理机构联系方式: 0817-2221768,四川省,医疗健康,南充市政府采购中心,zhongbiao_1767008484_13.txt,zhongbiao
N5100012025004143,四川省人民医院2025年口腔CT等一批设备采购项目中标（成交）结果公告,N5100012025004143,2025年口腔CT等一批设备采购项目,四川省人民医院,四川省成都市青羊区一环路西二段32号,林老师 028-87393387,四川光正达医疗科技有限公司,成都市青羊区日月大道一段978号3栋1单元17层1731、1732 号,李强、谭周菊,品牌,详见招标文件,1,详见合同,"760,540.00元",详见合同,公开招标,2025年12月29日 16:47,2025年12月29日 16:47,成都市武侯区吉泰五路118号天合凯旋广场2幢4楼 代理机构联系方式: 李强、谭周菊 028-65731881,四川省,设备采购,四川轩辕招标代理有限公司,zhongbiao_1767008486_14.txt,zhongbiao
TC250W0FC,国家体育总局训练局2026年食材采购项目中标公告,TC250W0FC,国家体育总局训练局2026年食材采购项目,国家体育总局训练局,北京市东城区体育馆路甲2号,韩老师，010-87183275,北京强峰胜鑫水产有限责任公司,北京市东城区桃园东里20号2层2169,魏志平、吴迪,其他,服务要求,1,详见合同,0.000000,服务标准,公开招标,2025年12月29日 16:47,2025年12月29日 16:47,代理机构联系方式: 魏志平、吴迪；010-62108094、62108059,北京市,文化旅游,,zhongbiao_1767008489_15.txt,zhongbiao
310118104251105149148-18287159,2026年度金泽镇水利设施（镇级）长效管理养护项目的中标（成交）结果公告,310118104251105149148-18287159,2026年度金泽镇水利设施（镇级）长效管理养护项目,上海市青浦区金泽镇人民政府,,021-59296516,,,包秀兰,其他,详见招标文件,1,详见合同,0.000000,详见合同,公开招标,2025年12月29日 16:47,2025年12月29日 16:47,代理机构联系方式: 021-69220180,上海市,水利水务,,zhongbiao_1767008491_16.txt,zhongbiao
N5100012025003333,川北医学院附属医院2025年医疗投诉纠纷管理系统等信息系统(二次)中标（成交）结果公告,N5100012025003333,2025年医疗投诉纠纷管理系统等信息系统(二次),川北医学院附属医院,四川省南充市顺庆区茂源南路1号,0817-2262458,江苏桴鼓科技有限公司,南京市栖霞区迈皋桥创业园科技研发基地(寅春路18号-Q2762),陈女士,品牌,详见招标文件,1,详见合同,"208,700.00元",详见合同,公开招标,2025年12月29日 16:47,2025年12月29日 16:47,四川省南充市市辖区南充市顺庆区涪江路19号 代理机构联系方式: 0817-2221768,四川省,医疗健康,南充市政府采购中心,zhongbiao_1767008493_17.txt,zhongbiao
GPCGD25C500FG212F,国家税务总局东莞松山湖高新技术产业开发区税务局食堂食材配送供应服务项目中标结果公告,GPCGD25C500FG212F,国家税务总局东莞松山湖高新技术产业开发区税务局食堂食材配送供应服务项目,国家税务总局东莞松山湖高新技术产业开发区税务局,广东省东莞市科信路1号4栋,0769-26622343,广东晶美餐饮管理服务有限公司,广州市番禺区石綦镇前锋北路50号之一101,陈工/胡工,服务,服务要求,1,详见合同,0.000000,服务标准,公开招标,2025年12月29日 16:46,2025年12月29日 16:46,代理机构联系方式: 020-83186862/83186839,广东省,服务业,,zhongbiao_1767008499_18.txt,zhongbiao
[350001]HMZB[GK]2025023,福州港江阴港区进港航道二期工程维护疏浚总承包服务结果公告（采购包1）,[350001]HMZB[GK]2025023,福州港江阴港区进港航道二期工程维护疏浚总承包服务,福建省福州港口发展中心,,,福建省港航勘察设计院有限公司,福建省福州市鼓楼区杨桥中路283号,林瑾南、黄玲丽、张凌璇,报价明细内容,服务要求,1,详见合同,"8,387,000.00元",单位,公开招标,2025年12月29日 16:46,2025年12月29日 16:46,福建省福州市鼓楼区华林路128号屏东写字楼19层 代理机构联系方式: 0591-87905603,福建省,建筑工程,福建华闽招标有限公司,zhongbiao_1767008503_19.txt,zhongbiao
QWZFCG25091）宁波市公安局前湾新区分局前湾派出所物业管理服务采购项目中标(成交)结果公告,（项目编号：QWZFCG25091）宁波市公安局前湾新区分局前湾派出所物业管理服务采购项目中标(成交)结果公告,QWZFCG25091）宁波市公安局前湾新区分局前湾派出所物业管理服务采购项目中标(成交)结果公告,宁波市公安局前湾新区分局前湾派出所物业管理服务采购项目,宁波市公安局前湾新区分局,,0574-89388620,,1,胡老师,服务,服务要求,1,详见合同,148.834800,服务标准,公开招标,2025年12月29日 16:32,2025年12月29日 16:32,代理机构联系方式: 0574-27617883,浙江省,服务业,,zhongbiao_1767008546_1.txt,zhongbiao
M4400000707532749,暨南大学附属顺德医院医用内窥镜采购项目结果公告,M4400000707532749,暨南大学附属顺德医院医用内窥镜采购项目,暨南大学附属顺德医院（佛山市顺德区第二人民医院、佛山市顺德区冯尧敬纪念医院）,,0757-28385698,,,赵园、崔丽幸,品牌,详见招标文件,1,详见合同,176.860000,详见合同,公开招标,2025年12月29日 16:32,2025年12月29日 16:32,代理机构联系方式: 020-83543314,广东省,医疗健康,,zhongbiao_1767008548_2.txt,zhongbiao
330100251010530000011-HZZFCG-2025-234,杭州市公共资源交易中心关于杭州第四中学江东学校2026年物业管理服务采购项目中标(成交)结果公告,330100251010530000011-HZZFCG-2025-234,杭州第四中学江东学校2026年物业管理服务采购项目,杭州第四中学江东学校,,0571-86570333,,1,虞老师,服务,服务要求,1,详见合同,715.000000,服务标准,公开招标,2025年12月29日 16:31,2025年12月29日 16:31,代理机构联系方式: 0571-89587838,浙江省,教育,,zhongbiao_1767008549_3.txt,zhongbiao
M4400000707533861）中标公告,中山大学附属第一医院COTRS紧急迁移和系统安全加固项目招标项目（项目编号：M4400000707533861）中标公告,M4400000707533861）中标公告,中山大学附属第一医院COTRS紧急迁移和系统安全加固项目招标项目,中山大学附属第一医院,广州市中山二路58号,叶老师：020-87628345,中国信息安全测评中心（主）中山大学（成）深圳市中标医学数据研究中心（成）,北京市海淀区上地西路八号院1号楼（等）,刘工,其他,服务要求,1,详见合同,480.0000000（万元）,服务标准,公开招标,2025年12月29日 16:31,2025年12月29日 16:31,代理机构联系方式: 刘工、陈工、郑工；020-83543621/44566（电子邮箱：gtczb7@126.com ）,广东省,医疗健康,,zhongbiao_1767008553_4.txt,zhongbiao
,沈阳师范大学电子顺磁共振波谱仪及配套设备采购项目（第二次）结果公告,,沈阳师范大学电子顺磁共振波谱仪及配套设备采购项目,沈阳师范大学,,02486592970,广东省中科进出口有限公司,广东省广州市越秀区广东省广州市越秀区先烈中路100号大院9号102房自编A一楼,李美玲、冯宇、李琳,设备,详见招标文件,1,详见合同,"6,070,700（元）",详见合同,公开招标,2025年12月29日 16:31,2025年12月29日 16:31,代理机构联系方式: 024-31215985,辽宁省,设备采购,,zhongbiao_1767008559_5.txt,zhongbiao
310000000250929139653-00277750,国家税务总局上海市闵行区税务局机关大楼物业管理服务中标公告,310000000250929139653-00277750,国家税务总局上海市闵行区税务局机关大楼物业管理服务,国家税务总局上海市闵行区税务局,上海市闵行区沪松公路559号,顾裕峰 021-34639330,上海鑫铭物业管理有限公司,上海市鹤庆路51号,李玲玲,服务,服务要求,1,详见合同,469.9485000（万元）,服务标准,公开招标,2025年12月29日 16:31,2025年12月29日 16:31,代理机构联系方式: 李玲玲021-35968026,上海市,服务业,,zhongbiao_1767008562_6.txt,zhongbiao
